DateTime,RegLine10,RegLine30,RegLine90,RegLine270
20161109 093100,110.599146667,111.007831954,111.201272859,111.075017233
20161109 093200,110.477406667,110.917402069,111.182545893,111.062241787
20161109 093300,110.3074,110.808974943,111.152763246,111.045756316
20161109 093400,110.099593333,110.683872184,111.115170612,111.027581782
20161109 093500,109.73432,110.501298161,111.053917553,111.001966245
20161109 093600,109.539646667,110.353655172,110.99961206,110.978591023
20161109 093700,109.32996,110.182412644,110.935555556,110.952207187
20161109 093800,109.267173333,110.031835402,110.877480624,110.926990235
20161109 093900,109.16734,109.855542989,110.807002272,110.898004205
20161109 094000,109.004173333,109.633687356,110.717869738,110.861710726
20161109 094100,108.56434,109.378781609,110.612842072,110.819774124
20161109 094200,108.244506667,109.099156552,110.495522272,110.773709751
20161109 094300,108.068006667,108.855554483,110.383178752,110.72961729
20161109 094400,108.026173333,108.645469655,110.279077428,110.687554834
20161109 094500,108.022113333,108.479025747,110.18439578,110.648250723
20161109 094600,108.219206667,108.368906667,110.102244944,110.612598381
20161109 094700,108.496606667,108.306138621,110.030839426,110.580121448
20161109 094800,108.839886667,108.265864828,109.962119001,110.548210811
20161109 094900,109.17748,108.248935862,109.897514507,110.517642181
20161109 095000,109.505406667,108.274547126,109.846226167,110.491226656
20161109 095100,109.794,108.345710115,109.807227865,110.468985989
20161109 095200,109.690593333,108.347493793,109.743578152,110.43883289
20161109 095300,109.679853333,108.403824598,109.696038027,110.413334617
20161109 095400,109.590446667,108.452888736,109.644361823,110.386392312
20161109 095500,109.573,108.539214943,109.60307638,110.362831943
20161109 095600,109.606666667,108.654787126,109.567120524,110.341606146
20161109 095700,109.552666667,108.744435632,109.521167166,110.317367567
20161109 095800,109.438333333,108.832307356,109.471495456,110.291634727
20161109 095900,109.327,108.922512414,109.423220499,110.265518023
20161109 100000,109.276,109.026464598,109.376125943,110.239411948
20161109 100100,109.215,109.038531724,109.320497054,110.210685827
20161109 100200,108.996,109.081288506,109.260713358,110.180080867
20161109 100300,108.903,109.129309655,109.205746142,110.151166256
20161109 100400,108.946666667,109.218066437,109.166164694,110.127453903
20161109 100500,109.012,109.262524368,109.123929064,110.10333015
20161109 100600,109.128666667,109.321568506,109.084699675,110.07995471
20161109 100700,109.144666667,109.346789195,109.040269288,110.054618455
20161109 100800,109.064666667,109.353581379,108.987294582,110.0263495
20161109 100900,109.033333333,109.355010575,108.940912984,109.999006333
20161109 101000,108.995333333,109.317428276,108.8940403,109.971028443
20161109 101100,108.918,109.251363218,108.848877978,109.943461203
20161109 101200,108.746,109.13607977,108.797437253,109.913072752
20161109 101300,108.670666667,109.04698023,108.753482172,109.885002652
20161109 101400,108.688173333,108.961838851,108.710204694,109.856842754
20161109 101500,108.748533333,108.897455172,108.672096355,109.830633234
20161109 101600,108.772893333,108.829090115,108.628397503,109.802687793
20161109 101700,108.762586667,108.768230805,108.582056954,109.774280559
20161109 101800,108.659293333,108.691391264,108.531106567,109.743737557
20161109 101900,108.593786667,108.623437701,108.480483371,109.7139572
20161109 102000,108.55362,108.583546897,108.433435281,109.685019367
20161109 102100,108.625586667,108.598750345,108.399507291,109.660030205
20161109 102200,108.605553333,108.561287126,108.362732659,109.633623723
20161109 102300,108.634853333,108.551387126,108.328530087,109.60796046
20161109 102400,108.645046667,108.530521609,108.294479825,109.582384103
20161109 102500,108.632653333,108.510518161,108.254673758,109.554842649
20161109 102600,108.638926667,108.51610092,108.221525368,109.529006234
20161109 102700,108.704533333,108.533131954,108.19705613,109.506082666
20161109 102800,108.75726,108.556346897,108.176664295,109.484427443
20161109 102900,108.7932,108.582389425,108.15851965,109.462321168
20161109 103000,108.794666667,108.602454943,108.139511086,109.43954079
20161109 103100,108.790293333,108.591093333,108.116931286,109.414791838
20161109 103200,108.748133333,108.567785977,108.094914682,109.389569296
20161109 103300,108.745306667,108.561697011,108.080787516,109.364904376
20161109 103400,108.737146667,108.585355172,108.070345768,109.340716806
20161109 103500,108.658986667,108.597404138,108.060510762,109.31515745
20161109 103600,108.58516,108.611096782,108.05282432,109.289922211
20161109 103700,108.518,108.605502069,108.041471211,109.26372814
20161109 103800,108.50084,108.59245908,108.0326,109.2378378
20161109 103900,108.517946667,108.590777011,108.026802946,109.212566818
20161109 104000,108.524186667,108.582775402,108.022399401,109.187278653
20161109 104100,108.514733333,108.57781977,108.020483795,109.162293807
20161109 104200,108.487133333,108.557266437,108.018354981,109.137533424
20161109 104300,108.544826667,108.569412414,108.02469613,109.115615005
20161109 104400,108.653233333,108.596451034,108.036699725,109.095101892
20161109 104500,108.736973333,108.629884138,108.051190212,109.074808751
20161109 104600,108.72838,108.627983908,108.060979176,109.051990483
20161109 104700,108.69472,108.62218023,108.07382,109.029164835
20161109 104800,108.713193333,108.621986667,108.095029363,109.008474283
20161109 104900,108.719106667,108.617023908,108.116224444,108.987673689
20161109 105000,108.689133333,108.607194023,108.13523578,108.966652857
20161109 105100,108.725006667,108.637424138,108.164214432,108.94885039
20161109 105200,108.72904,108.657006437,108.193459301,108.931357728
20161109 105300,108.748453333,108.675262989,108.223763171,108.914059281
20161109 105400,108.8026,108.692843908,108.2554396,108.897592237
20161109 105500,108.865413333,108.702562759,108.289122022,108.881800121
20161109 105600,108.89256,108.722132184,108.327627665,108.866828189
20161109 105700,109.00744,108.787678621,108.378020749,108.85634453
20161109 105800,109.07952,108.843891724,108.426454057,108.845067652
20161109 105900,109.120293333,108.898828966,108.473811211,108.834008454
20161109 110000,109.119686667,108.946777701,108.523125918,108.822719598
20161109 110100,109.1583,108.989684598,108.552752734,108.812536897
20161109 110200,109.173553333,109.026325747,108.595414257,108.80227555
20161109 110300,109.133666667,109.054557701,108.630450811,108.79112673
20161109 110400,109.050466667,109.070122989,108.658134057,108.778692042
20161109 110500,108.9986,109.089458391,108.678019551,108.767665587
