DateTime,Open,High,Low,Close,Volume
20161109 093100,14.79,14.8,14.76,14.795,48455
20161109 093200,14.79,14.81,14.79,14.8099,64116
20161109 093300,14.805,14.815,14.8,14.8,70257
20161109 093400,14.79,14.795,14.79,14.795,73309
20161109 093500,14.79,14.795,14.774,14.79,96231
20161109 093600,14.78,14.795,14.775,14.795,105729
20161109 093700,14.79,14.79,14.77,14.775,155502
20161109 093800,14.789,14.789,14.78,14.78,163091
20161109 093900,14.78,14.78,14.775,14.775,163291
20161109 094000,14.77,14.77,14.755,14.755,164071
20161109 094100,14.75,14.75,14.745,14.75,167111
20161109 094200,14.74,14.74,14.7334,14.74,184964
20161109 094300,14.74,14.75,14.735,14.745,193164
20161109 094400,14.75,14.75,14.7499,14.75,198513
20161109 094500,14.74,14.74,14.74,14.74,205313
20161109 094600,14.73,14.73,14.73,14.73,206313
20161109 094700,14.74,14.74,14.73,14.73,209013
20161109 094800,14.715,14.715,14.7141,14.715,210545
20161109 094900,14.71,14.71,14.705,14.71,215418
20161109 095000,14.72,14.73,14.715,14.73,222510
20161109 095100,14.73,14.73,14.73,14.73,226410
20161109 095200,14.725,14.725,14.715,14.7201,258194
20161109 095300,14.73,14.74,14.723,14.74,262653
20161109 095400,14.74,14.745,14.74,14.745,264939
20161109 095500,14.74,14.75,14.74,14.75,270139
20161109 095600,14.75,14.75,14.745,14.745,274282
20161109 095700,14.74,14.7433,14.725,14.725,288283
20161109 095800,14.74,14.74,14.74,14.74,289383
20161109 095900,14.735,14.7459,14.735,14.7459,293914
20161109 100000,14.74,14.74,14.735,14.735,299514
20161109 100100,14.74,14.74,14.73,14.73,302756
20161109 100200,14.735,14.74,14.735,14.735,304966
20161109 100300,14.745,14.745,14.7312,14.7312,306600
20161109 100400,14.735,14.735,14.735,14.735,306745
20161109 100500,14.74,14.74,14.735,14.7389,308345
20161109 100600,14.735,14.74,14.735,14.74,309291
20161109 100700,14.75,14.75,14.741,14.741,324920
20161109 100800,14.74,14.74,14.74,14.74,325020
20161109 100900,14.74,14.74,14.735,14.74,327045
20161109 101000,14.74,14.75,14.735,14.75,330646
20161109 101100,14.7463,14.75,14.7463,14.75,332042
20161109 101200,14.7564,14.7575,14.75,14.75,340942
20161109 101400,14.745,14.745,14.745,14.745,341048
20161109 101500,14.74,14.74,14.74,14.74,343748
20161109 101700,14.725,14.725,14.72,14.72,343948
20161109 101800,14.72,14.725,14.715,14.72,353254
20161109 101900,14.715,14.73,14.715,14.73,359402
20161109 102000,14.73,14.73,14.72,14.7289,373553
20161109 102100,14.73,14.73,14.73,14.73,375053
20161109 102300,14.735,14.74,14.735,14.74,375585
20161109 102400,14.74,14.74,14.74,14.74,377585
20161109 102500,14.74,14.74,14.735,14.74,379415
20161109 102600,14.74,14.75,14.74,14.7448,383248
20161109 102700,14.75,14.76,14.75,14.76,385348
20161109 102800,14.75,14.76,14.75,14.75,398954
20161109 102900,14.75,14.75,14.75,14.75,399454
20161109 103000,14.7465,14.76,14.7448,14.7562,405183
20161109 103100,14.76,14.8,14.73,14.75,505766
20161109 103200,14.73,14.75,14.7256,14.74,510470
20161109 103300,14.74,14.76,14.74,14.76,526315
20161109 103400,14.76,14.78,14.76,14.78,549215
20161109 103500,14.76,14.76,14.76,14.76,551415
20161109 103600,14.7654,14.7654,14.75,14.75,572388
20161109 103700,14.75,14.76,14.75,14.75,578988
20161109 103800,14.745,14.75,14.745,14.7492,580588
20161109 103900,14.7483,14.75,14.735,14.75,586031
20161109 104100,14.74,14.74,14.7289,14.7289,587045
20161109 104200,14.7233,14.74,14.7233,14.73,590167
20161109 104300,14.74,14.74,14.73,14.73,593367
20161109 104400,14.73,14.73,14.725,14.725,595749
20161109 104500,14.72,14.72,14.71,14.71,600149
20161109 104600,14.71,14.71,14.68,14.69,612592
20161109 104700,14.69,14.7,14.685,14.7,616942
20161109 104800,14.69,14.69,14.68,14.69,652191
20161109 104900,14.69,14.7,14.69,14.7,700147
20161109 105000,14.7,14.7064,14.7,14.7064,704065
20161109 105100,14.69,14.69,14.69,14.69,704214
20161109 105200,14.69,14.7,14.69,14.7,709217
20161109 105300,14.71,14.72,14.71,14.71,709817
20161109 105400,14.71,14.71,14.68,14.68,746372
20161109 105500,14.685,14.69,14.685,14.69,746672
20161109 105600,14.69,14.7,14.69,14.7,749433
20161109 105700,14.7,14.7034,14.7,14.7,752803
20161109 105800,14.7,14.7,14.69,14.7,757715
20161109 105900,14.7,14.7,14.7,14.7,758610
20161109 110000,14.69,14.69,14.69,14.69,765535
20161109 110100,14.68,14.69,14.68,14.6865,770291
20161109 110200,14.685,14.69,14.68,14.69,770715
20161109 110300,14.6866,14.69,14.68,14.685,805998
20161109 110400,14.69,14.693,14.69,14.69,810468
20161109 110500,14.69,14.69,14.685,14.685,810668
20161109 110600,14.685,14.69,14.685,14.69,812368
20161109 110700,14.7,14.7,14.687,14.69,818301
20161109 110800,14.69,14.69,14.685,14.69,825556
20161109 110900,14.69,14.6926,14.685,14.6926,830956
20161109 111000,14.6937,14.6999,14.69,14.69,836501
20161109 111100,14.69,14.69,14.685,14.687,847601
20161109 111200,14.6892,14.6999,14.687,14.69,854245
20161109 111300,14.69,14.69,14.69,14.69,854445
20161109 111400,14.699,14.7,14.695,14.6992,856597
20161109 111500,14.695,14.7,14.69,14.6998,864823
20161109 111600,14.7,14.7053,14.695,14.7,872569
20161109 111700,14.7,14.71,14.7,14.71,887537
20161109 111800,14.7,14.7011,14.7,14.7011,887737
20161109 111900,14.705,14.705,14.705,14.705,887837
20161109 112000,14.71,14.719,14.705,14.719,891160
20161109 112200,14.71,14.71,14.71,14.71,891404
20161109 112300,14.7167,14.72,14.7136,14.72,899855
20161109 112400,14.73,14.73,14.73,14.73,900155
20161109 112500,14.73,14.73,14.73,14.73,900272
20161109 112700,14.73,14.73,14.73,14.73,900472
20161109 112800,14.73,14.74,14.73,14.74,908674
20161109 112900,14.75,14.75,14.75,14.75,909475
20161109 113000,14.755,14.755,14.75,14.75,912284
20161109 113200,14.7462,14.76,14.745,14.755,920407
20161109 113300,14.76,14.7666,14.76,14.7666,921916
20161109 113400,14.763,14.7666,14.763,14.7666,922417
20161109 113500,14.7655,14.7655,14.76,14.76,962286
20161109 113600,14.7655,14.8,14.7655,14.8,970210
20161109 113700,14.81,14.81,14.81,14.81,971765
20161109 113800,14.81,14.8207,14.81,14.82,974051
20161109 113900,14.8157,14.82,14.8157,14.82,974817
20161109 114000,14.825,14.8563,14.825,14.8563,1085558
20161109 114100,14.85,14.85,14.84,14.84,1118062
20161109 114200,14.83,14.83,14.83,14.83,1118162
20161109 114300,14.83,14.83,14.8247,14.8247,1118967
20161109 114400,14.83,14.83,14.82,14.83,1131442
20161109 114500,14.82,14.82,14.8199,14.8199,1133242
20161109 114600,14.82,14.85,14.82,14.85,1134851
20161109 114700,14.85,14.85,14.83,14.83,1151846
20161109 114800,14.8363,14.84,14.835,14.84,1154846
20161109 114900,14.84,14.84,14.832,14.837,1160780
20161109 115000,14.8363,14.8408,14.8363,14.8408,1167445
20161109 115100,14.84,14.84,14.84,14.84,1168945
20161109 115200,14.84,14.8499,14.84,14.8499,1169310
20161109 115300,14.85,14.86,14.85,14.855,1183694
20161109 115400,14.86,14.87,14.86,14.865,1192866
20161109 115500,14.865,14.88,14.865,14.878,1198430
20161109 115600,14.87,14.88,14.87,14.875,1204229
20161109 115700,14.8741,14.875,14.87,14.87,1205344
20161109 115800,14.8662,14.87,14.86,14.87,1215128
20161109 115900,14.8767,14.88,14.86,14.87,1257959
20161109 120000,14.87,14.87,14.85,14.86,1275300
20161109 120100,14.865,14.865,14.84,14.84,1311100
20161109 120200,14.835,14.8455,14.835,14.8455,1313327
20161109 120300,14.845,14.8556,14.845,14.85,1317827
20161109 120400,14.85,14.85,14.84,14.84,1342327
20161109 120500,14.825,14.83,14.825,14.83,1342762
20161109 120600,14.82,14.8399,14.82,14.8399,1346204
20161109 120700,14.84,14.84,14.8335,14.8335,1350048
20161109 120800,14.82,14.83,14.82,14.82,1350855
